AREA_ACRES,AREA_SQKM,STATES,HUC_8,HU_8_NAME,VERTICES,Shape_Length,Shape_Area
932947.4087,3790.486974,"CO,KS",11030002,Whitewoman,65,3.908644989,0.391309393
634188.1853,2562.899178,"CO,KS",11040003,North Fork Cimarron,89,4.308088718,0.260526962
1906713.532,7726.225315,"CO,WY",10180002,Upper North Platte,150,5.556046651,0.832154194
532447.2573,2157.313685,CO,10190006,Big Thompson,67,2.62626172,0.228850533
885572.9933,3572.705089,CO,10190011,Bijou,80,3.579976797,0.374567435
481228.0898,1941.834058,"CO,NE,WY",10190017,Sidney Draw,71,2.823385581,0.208021067
713383.2143,2891.123409,CO,14020006,Uncompahange,83,2.996094006,0.297819087
590672.0079,2395.535932,"CO,UT",14030004,Lower Dolores,57,2.448092233,0.247866159
463089.0543,1881.609496,CO,11020004,Chico,51,2.331004719,0.194932918
930897.0581,3757.413872,CO,14010004,Roaring Fork,79,3.038643086,0.39214684
623691.7773,2517.986367,"CO,WY",14040109,Vermilion,91,3.206131625,0.269494498
458774.6921,1863.470324,"CO,UT",14080202,Mcelmo,55,2.140414665,0.189595395
1210062.789,4888.108313,"CO,WY",10190007,Cache La Poudre,109,4.207646018,0.52105072
2448659.303,9916.669641,"CO,UT",14010005,Colorado Headwaters-Plateau,155,5.582924789,1.036780733
490824.6888,1994.141244,CO,14020001,East-Taylor,64,2.344408418,0.206915674
627528.7332,2546.733881,"CO,UT",14060001,Lower Green-Diamond,82,3.536861048,0.270083156
1380870.45,5575.655363,"CO,UT",14030002,Upper Dolores,129,5.105391546,0.571137026
1244872.544,5031.303746,"AZ,CO,NM",14080105,Middle San Juan,108,4.608493468,0.508415151
362117.2628,1457.583572,CO,10190004,Clear,62,2.379691977,0.153192652
369896.9609,1495.728126,"CO,WY",10190008,Lone Tree-Owl,64,2.673743782,0.159700366
756712.8672,3052.294669,"CO,NE,WY",10190015,Upper Lodgepole,77,3.948081837,0.327849739
853837.3735,3447.377259,"CO,NE,WY",10190016,Lower Lodgepole,141,6.156231315,0.370258622
1054125.31,4271.562575,"CO,NE",10250005,Frenchman,136,5.729031066,0.453838014
1416723.84,5738.037628,CO,11020005,Upper Arkansas-Lake Meredith,131,5.365771107,0.589357934
1104175.103,4473.239171,"CO,NM",11080001,Canadian Headwaters,81,3.496467096,0.451363028
1004512.748,4059.296083,CO,14050002,Lower Yampa,114,4.491647485,0.430955623
876576.6129,3561.710506,"CO,NM",14080104,Animas,92,3.688954427,0.36234621
467190.3354,1883.742783,"CO,KS",10260002,North Fork Smoky Hill,71,3.699965463,0.196181139
883580.031,3575.221842,CO,13010001,Rio Grande Headwaters,85,3.351602056,0.365390968
1012681.138,4092.695574,CO,13010003,San Luis,82,3.864064317,0.419140244
859484.8897,3479.920634,CO,13010004,Saguache,70,3.063288484,0.357029773
490968.1536,1986.597172,"CO,NM",13010005,Conejos,79,3.415347917,0.20128917
931386.6122,3760.760042,"CO,UT",14030001,Westwater Canyon,84,3.167487753,0.391576674
1455805.785,5882.622961,"CO,UT",14030005,Upper Colorado-Kane Springs,115,4.334889138,0.606200912
1600424.107,6477.004178,"CO,UT,WY",14040106,Upper Green-Flaming Gorge Reservoir,127,5.42873368,0.692987457
2207488.314,8929.698339,"CO,NM",11020010,Purgatorie,150,6.162811906,0.907772589
594226.1552,2398.203854,CO,11020003,Fountain,59,2.56128438,0.248626108
2021140.174,8187.428819,"CO,NM",13020102,Rio Chama,113,4.221829812,0.823341408
708129.7328,2860.852202,CO,10190013,Beaver,66,2.801538183,0.300910034
705695.5719,2845.398016,CO,14020003,Tomichi,76,2.818212791,0.293342606
1887162.217,7637.226776,"CO,KS,NE",10250002,North Fork Republican,157,5.584818039,0.807335509
432877.2456,1758.558839,CO,14080102,Piedra,53,2.127598813,0.17884237
1743798.548,7049.935521,"CO,UT",14050007,Lower White,102,4.298772837,0.742919557
2468587.218,9984.290872,"CO,KS",11020009,Upper Arkansas-John Martin Reservoir,133,6.420854165,1.026044571
1184478.719,4791.206942,CO,11020011,Big Sandy,155,6.562465193,0.497401187
873301.9035,3531.351656,CO,11020012,Rush,90,4.20482313,0.366360227
487470.9298,1968.183201,"CO,KS",11040004,Sand Arroyo,74,3.773242142,0.200151929
911626.1913,3691.314055,CO,10180001,North Platte Headwaters,86,2.83822849,0.392883003
925395.9434,3735.204674,"CO,NE",10250006,Stinking Water,94,4.118450717,0.398284844
906601.2748,3668.029267,"CO,KS",10260004,Ladder,78,4.033587767,0.379909747
1064110.042,4311.514136,CO,14020005,Lower Gunnison,85,3.699983934,0.446935543
1625117.722,6574.036254,"CO,NM",13010002,Alamosa-Trinchera,123,6.081481161,0.668419474
1726675.645,6982.55986,"CO,KS",10250003,South Fork Republican,157,5.499152268,0.731021642
463187.3617,1866.644449,CO,10190014,Pawnee,77,2.644296351,0.198939699
994147.0387,4018.289717,CO,14030003,San Miguel,96,3.489946536,0.412890618
411721.1988,1670.14002,"CO,KS",10250013,Little Beaver,85,3.390056385,0.175271056
